county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty,Income,IncomePerCap,IncomePerCapErr
Gates,NC,2851.0,2371.0,5328.0,5944.0,3354.0,2540.0,169.0,3.0,11601.0,5662.0,5939.0,0.7,62.5,32.9,0.9,0.4,0.0,12.4,52481.0,24335.0,1545.0
Geary,KS,4116.0,2569.0,7129.0,9311.0,5193.0,3825.0,394.0,4.0,35796.0,19025.0,16771.0,15.6,57.2,16.8,0.7,3.1,0.8,14.9,46096.0,21583.0,814.0
Geauga,OH,29577.0,17165.0,48736.0,55381.0,33581.0,20980.0,991.0,50.0,93895.0,46220.0,47675.0,1.4,95.8,1.2,0.1,0.6,0.0,6.5,77104.0,39513.0,1496.0
Gem,ID,5980.0,1229.0,7952.0,9958.0,7951.0,1803.0,452.0,6.0,16850.0,8331.0,8519.0,8.3,88.0,0.0,0.9,0.7,0.0,20.7,42888.0,20041.0,1387.0
Genesee,MI,84174.0,102744.0,196135.0,222969.0,99199.0,120082.0,7352.0,343.0,410881.0,198115.0,212766.0,3.3,72.5,19.8,0.4,1.0,0.0,20.0,45231.0,25180.0,401.0
Genesee,NY,15986.0,6946.0,24463.0,25004.0,17340.0,7048.0,411.0,5.0,58537.0,29199.0,29338.0,3.1,90.7,2.4,0.9,0.7,0.0,12.8,54033.0,27499.0,681.0
Geneva,AL,9967.0,1522.0,11659.0,12538.0,10844.0,1592.0,975.0,7.0,26572.0,13008.0,13564.0,3.8,84.0,9.2,0.6,0.4,0.0,22.5,39293.0,21084.0,1064.0
Gentry,MO,2304.0,605.0,3033.0,3239.0,2580.0,613.0,201.0,10.0,6688.0,3225.0,3463.0,0.3,96.4,0.9,0.7,0.4,0.1,18.1,43777.0,20903.0,1106.0
George,MS,8652.0,1013.0,9831.0,10940.0,9602.0,1208.0,1037.0,20.0,23545.0,11894.0,11651.0,2.7,87.4,7.7,0.5,0.9,0.0,14.7,47640.0,20973.0,1771.0
Georgetown,SC,17334.0,13234.0,31519.0,36668.0,20487.0,15822.0,2403.0,56.0,61065.0,28957.0,32108.0,3.0,63.3,31.3,0.1,0.4,0.0,18.7,46967.0,28748.0,1317.0
Gibson,IN,11079.0,3720.0,15472.0,16165.0,11817.0,4027.0,1038.0,12.0,33596.0,16841.0,16755.0,1.5,94.2,2.0,0.1,0.3,0.0,10.7,51149.0,27342.0,1327.0
Gibson,TN,13779.0,5255.0,19484.0,22336.0,16245.0,5764.0,2244.0,48.0,49222.0,23447.0,25775.0,2.6,76.8,17.7,0.4,0.3,0.1,17.1,41315.0,21858.0,869.0
Gila,AZ,13672.0,6746.0,21398.0,27662.0,18377.0,8943.0,1989.0,72.0,53145.0,26284.0,26861.0,18.6,62.8,0.4,15.6,0.9,0.0,21.9,41179.0,22433.0,944.0
Gilchrist,FL,6740.0,1457.0,8418.0,9702.0,7895.0,1700.0,614.0,18.0,17191.0,8983.0,8208.0,5.5,87.2,5.8,0.1,0.1,0.0,19.8,42934.0,21145.0,1303.0
Giles,TN,7964.0,2915.0,11120.0,13202.0,9783.0,3298.0,1027.0,38.0,29024.0,14119.0,14905.0,2.0,84.8,9.8,0.0,0.6,0.0,15.9,43925.0,22994.0,1238.0
Giles,VA,5930.0,1949.0,8196.0,9157.0,6876.0,2156.0,146.0,0.0,16867.0,8273.0,8594.0,1.6,95.1,2.4,0.2,0.2,0.1,11.3,49734.0,25004.0,1390.0
Gillespie,TX,10445.0,2286.0,13123.0,15817.0,12495.0,3163.0,365.0,10.0,25939.0,12655.0,13284.0,22.5,75.6,0.1,0.0,0.1,0.0,12.4,56267.0,32557.0,2310.0
Gilliam,OR,632.0,221.0,937.0,1178.0,834.0,324.0,17.0,0.0,1910.0,962.0,948.0,8.1,86.0,0.0,5.2,0.0,0.7,9.9,39831.0,24178.0,2893.0
Gilmer,GA,10465.0,1955.0,12713.0,16525.0,13429.0,2932.0,1065.0,23.0,29614.0,14950.0,14664.0,11.5,85.5,0.6,0.1,0.5,0.0,18.8,46211.0,23688.0,1469.0
Gilmer,WV,1889.0,537.0,2528.0,2662.0,2012.0,599.0,65.0,0.0,8305.0,4912.0,3393.0,4.1,80.8,10.8,0.1,0.4,0.0,25.0,37175.0,18207.0,1631.0
Gilpin,CO,1564.0,1634.0,3574.0,4143.0,1815.0,2199.0,30.0,0.0,5793.0,3108.0,2685.0,9.2,86.2,0.6,1.3,0.3,0.0,5.6,72544.0,45110.0,7280.0
