cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Unemployment
503.0,14.0,19014.0,9297.0,9717.0,4.9,82.3,10.8,0.2,1.0,0.0,9.4
2985.0,86.0,154948.0,75835.0,79113.0,5.2,75.1,14.6,0.3,1.9,0.0,7.3
737.0,20.0,19913.0,10057.0,9856.0,2.1,34.3,61.6,0.6,0.6,0.0,12.7
66064.0,1414.0,1892004.0,932577.0,959427.0,59.8,28.4,7.0,0.2,2.6,0.1,6.1
878.0,15.0,22580.0,12251.0,10329.0,2.4,74.6,22.0,0.4,0.0,0.0,8.2
6707.0,200.0,153923.0,72312.0,81611.0,3.2,39.3,54.0,0.2,1.9,0.0,10.4
623.0,35.0,13806.0,6692.0,7114.0,1.7,54.3,41.5,0.1,0.0,0.0,7.4
1400.0,38.0,13290.0,6566.0,6724.0,5.6,27.7,0.1,65.0,0.1,0.0,15.9
263.0,7.0,11920.0,6015.0,5905.0,8.8,88.2,0.6,0.9,0.4,0.1,4.7
177.0,1.0,5039.0,2489.0,2550.0,1.4,98.0,0.3,0.0,0.0,0.0,2.8
34.0,0.0,983.0,566.0,417.0,4.1,94.4,0.9,0.6,0.0,0.0,3.9
1664.0,23.0,45369.0,22732.0,22637.0,17.9,74.0,0.3,4.9,0.9,0.0,5.2
6448.0,103.0,132960.0,65251.0,67709.0,4.2,82.2,8.8,0.2,2.1,0.2,5.3
287.0,6.0,12214.0,6047.0,6167.0,1.5,96.0,0.2,0.2,0.5,0.0,6.8
1105.0,19.0,34130.0,16241.0,17889.0,7.5,54.2,34.4,2.3,0.0,0.0,7.9
916.0,7.0,21583.0,11040.0,10543.0,21.0,76.5,0.3,0.0,1.0,0.0,3.7
349.0,7.0,6646.0,3316.0,3330.0,2.5,46.2,0.2,49.1,0.0,0.2,16.8
4.0,0.0,502.0,256.0,246.0,0.0,98.0,0.0,0.0,0.6,1.4,1.1
225.0,1.0,9680.0,5070.0,4610.0,9.8,74.0,3.9,6.9,0.1,0.0,3.6
1456.0,32.0,124736.0,61106.0,63630.0,1.2,94.8,1.5,0.0,0.7,0.0,5.2
163.0,6.0,11089.0,5576.0,5513.0,19.1,77.6,0.0,0.0,0.6,0.0,5.7
79.0,5.0,6524.0,3617.0,2907.0,0.5,94.3,4.8,0.0,0.0,0.0,6.7
515.0,27.0,12779.0,5909.0,6870.0,2.7,68.8,27.7,0.1,0.2,0.0,7.7
1047.0,4.0,14413.0,8385.0,6028.0,2.1,89.2,4.0,1.1,0.3,0.0,8.4
2095.0,25.0,57667.0,28490.0,29177.0,9.0,87.4,1.5,0.3,0.1,0.0,4.9
3602.0,41.0,127135.0,61640.0,65495.0,3.1,91.4,2.5,0.3,0.7,0.1,5.9
2207.0,7.0,65767.0,33054.0,32713.0,3.2,88.9,3.3,0.3,2.1,0.0,4.5
87.0,2.0,6968.0,3678.0,3290.0,4.1,91.8,0.2,1.0,0.7,0.0,6.0
2072.0,79.0,33121.0,15613.0,17508.0,2.1,32.4,64.2,0.3,0.9,0.0,12.6
553.0,3.0,12347.0,6180.0,6167.0,1.2,96.5,0.4,0.7,0.4,0.0,5.1
1016.0,1.0,6972.0,4057.0,2915.0,3.0,87.4,1.3,5.0,1.4,0.0,1.2
544.0,9.0,17034.0,8767.0,8267.0,3.5,87.8,6.1,0.2,1.2,0.0,5.1
