county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Aransas,TX,0.7390000000000001,0.235,10467.0,7730.0,2458.0,0.752,0.237,12241.0,9210.0,2896.0,351.0,18.0,24832.0,12448.0,12384.0,27.0,67.7,1.6,0.0,2.0,0.0,44601.0,29999.0,17.8,6.7
Arapahoe,CO,0.389,0.527,281658.0,109638.0,148365.0,0.364,0.61,346740.0,126124.0,211498.0,13956.0,387.0,626612.0,309190.0,317422.0,18.9,61.3,10.2,0.3,5.6,0.2,69553.0,36951.0,9.9,5.2
Archer,TX,0.887,0.092,4269.0,3785.0,394.0,0.897,0.09300000000000001,4796.0,4300.0,446.0,165.0,1.0,8793.0,4335.0,4458.0,8.3,88.6,0.8,0.3,0.4,0.0,63192.0,31103.0,8.8,3.0
Archuleta,CO,0.581,0.341,7290.0,4234.0,2489.0,0.568,0.409,9030.0,5126.0,3693.0,68.0,0.0,12592.0,6400.0,6192.0,18.3,76.7,1.1,2.1,0.7,0.0,48016.0,29344.0,11.6,5.4
Arenac,MI,0.631,0.3,7457.0,4704.0,2238.0,0.6709999999999999,0.314,8830.0,5928.0,2773.0,111.0,3.0,15238.0,7714.0,7524.0,2.0,94.9,0.5,1.3,0.4,0.0,39947.0,22622.0,18.5,9.6
Arkansas,AR,0.616,0.312,6211.0,3825.0,1939.0,0.684,0.289,6284.0,4301.0,1813.0,726.0,17.0,18352.0,8785.0,9567.0,3.0,70.2,26.0,0.0,0.0,0.0,38532.0,23766.0,20.7,8.5
Arlington,VA,0.16899999999999998,0.77,119344.0,20155.0,91879.0,0.172,0.813,129498.0,22318.0,105344.0,4764.0,154.0,229534.0,114403.0,115131.0,15.5,62.3,8.5,0.3,10.2,0.1,112138.0,67061.0,8.2,3.2
Armstrong,PA,0.745,0.225,30446.0,22676.0,6849.0,0.7559999999999999,0.233,36111.0,27284.0,8406.0,786.0,21.0,66737.0,33176.0,33561.0,0.7,97.3,1.0,0.0,0.2,0.0,47527.0,25502.0,13.0,6.9
Armstrong,TX,0.909,0.069,1017.0,924.0,70.0,0.9309999999999999,0.067,1112.0,1035.0,75.0,27.0,1.0,1929.0,974.0,955.0,10.0,86.6,1.2,1.3,0.0,0.0,68750.0,31219.0,7.5,1.8
Arthur,NE,0.9009999999999999,0.061,263.0,237.0,16.0,0.915,0.07400000000000001,284.0,260.0,21.0,5.0,0.0,421.0,204.0,217.0,0.0,97.6,0.0,0.0,0.0,0.0,41250.0,21799.0,10.9,0.6
Ascension,LA,0.6609999999999999,0.301,54663.0,36135.0,16471.0,0.653,0.327,62325.0,40687.0,20399.0,4299.0,100.0,119129.0,58718.0,60411.0,5.3,69.4,21.8,0.0,0.9,0.0,74748.0,31520.0,11.7,6.3
Ashe,NC,0.711,0.264,13160.0,9353.0,3476.0,0.7240000000000001,0.264,15691.0,11368.0,4149.0,481.0,3.0,26833.0,13213.0,13620.0,5.2,92.5,0.8,0.4,0.4,0.0,40293.0,23650.0,19.4,6.3
Ashland,OH,0.713,0.235,24074.0,17169.0,5659.0,0.7340000000000001,0.249,25883.0,19002.0,6448.0,511.0,9.0,53299.0,26005.0,27294.0,1.3,96.0,0.8,0.0,0.6,0.0,50893.0,24612.0,14.2,4.2
Ashland,WI,0.433,0.522,7926.0,3428.0,4136.0,0.439,0.5479999999999999,8757.0,3841.0,4801.0,301.0,3.0,15779.0,7954.0,7825.0,2.6,82.7,0.4,10.6,0.4,0.0,41505.0,22983.0,14.6,7.2
Ashley,AR,0.66,0.298,8083.0,5338.0,2408.0,0.7,0.268,7926.0,5548.0,2125.0,573.0,11.0,20771.0,10126.0,10645.0,5.2,68.0,25.6,0.2,0.0,0.0,36407.0,20703.0,21.3,9.9
Ashtabula,OH,0.5720000000000001,0.382,39809.0,22755.0,15191.0,0.606,0.375,43253.0,26225.0,16207.0,890.0,48.0,98622.0,49509.0,49113.0,4.0,89.9,3.4,0.2,0.5,0.0,43017.0,21936.0,19.8,7.4
Asotin,WA,0.59,0.322,9684.0,5712.0,3118.0,0.615,0.359,11795.0,7259.0,4233.0,294.0,8.0,22259.0,10594.0,11665.0,3.6,91.2,0.4,0.9,0.9,0.1,47483.0,26878.0,13.5,6.7
Assumption,LA,0.616,0.361,10904.0,6714.0,3931.0,0.647,0.341,11235.0,7271.0,3833.0,813.0,24.0,22881.0,11085.0,11796.0,2.8,65.8,29.7,0.6,0.3,0.0,48656.0,25765.0,15.7,6.9
Atascosa,TX,0.632,0.341,13605.0,8598.0,4635.0,0.665,0.324,18085.0,12020.0,5865.0,1287.0,37.0,48139.0,24051.0,24088.0,63.5,34.2,0.7,0.1,0.4,0.0,55194.0,23973.0,14.6,6.1
Atchison,KS,0.622,0.304,6393.0,3977.0,1946.0,0.66,0.316,7312.0,4826.0,2314.0,537.0,6.0,16466.0,7957.0,8509.0,2.9,88.4,3.1,0.4,0.3,0.1,46640.0,25494.0,18.5,6.3
Atchison,MO,0.7559999999999999,0.19899999999999998,2723.0,2059.0,541.0,0.7809999999999999,0.2,2814.0,2199.0,564.0,86.0,1.0,5335.0,2642.0,2693.0,1.2,96.6,0.4,0.4,0.6,0.0,45259.0,28209.0,12.1,4.1
Athens,OH,0.387,0.557,27941.0,10816.0,15552.0,0.418,0.565,24876.0,10386.0,14047.0,1388.0,2.0,65563.0,32641.0,32922.0,1.8,89.7,2.5,0.2,2.8,0.1,37191.0,20062.0,30.2,8.7
Atkinson,GA,0.7190000000000001,0.267,2604.0,1873.0,696.0,0.7290000000000001,0.261,3155.0,2300.0,825.0,486.0,6.0,8313.0,4112.0,4201.0,24.6,56.6,17.8,0.7,0.0,0.0,33063.0,19904.0,27.4,8.4
Atlantic,NJ,0.45299999999999996,0.515,105738.0,47882.0,54472.0,0.462,0.523,131980.0,60957.0,68978.0,5341.0,267.0,272926.0,132171.0,140755.0,18.5,56.4,14.3,0.2,8.4,0.0,57514.0,29941.0,15.3,10.9
Atoka,OK,0.813,0.159,5002.0,4068.0,795.0,0.846,0.142,5389.0,4557.0,765.0,467.0,1.0,13899.0,7340.0,6559.0,3.4,71.8,3.7,11.4,0.7,0.1,37106.0,19439.0,19.8,6.6
Attala,MS,0.5920000000000001,0.39299999999999996,7242.0,4288.0,2847.0,0.586,0.401,8832.0,5178.0,3542.0,819.0,27.0,18731.0,8860.0,9871.0,2.0,54.0,42.2,0.1,0.4,0.0,33815.0,20617.0,22.6,10.3
Audrain,MO,0.695,0.256,10043.0,6981.0,2567.0,0.725,0.254,10660.0,7727.0,2703.0,654.0,10.0,25763.0,11744.0,14019.0,2.9,87.1,6.1,0.2,0.2,0.0,44056.0,21226.0,16.7,7.4
Audubon,IA,0.632,0.319,3379.0,2135.0,1079.0,0.672,0.314,3416.0,2295.0,1071.0,192.0,1.0,5711.0,2814.0,2897.0,0.4,97.1,0.4,0.0,0.5,0.0,48750.0,31523.0,11.1,2.7
