county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16
Clear Creek,CO,2426.0,2585.0,5532.0
Clearfield,PA,23909.0,7700.0,32692.0
Clearwater,ID,2852.0,704.0,3801.0
Clearwater,MN,2925.0,1100.0,4225.0
Cleburne,AL,5738.0,684.0,6532.0
Cleburne,AR,9454.0,2101.0,12081.0
Clermont,OH,65960.0,26096.0,96455.0
Cleveland,AR,2460.0,723.0,3352.0
Cleveland,NC,28394.0,14896.0,44137.0
Cleveland,OK,62469.0,38790.0,109326.0
Clinch,GA,1724.0,685.0,2443.0
Clinton,IA,11249.0,10079.0,22748.0
Clinton,IL,12394.0,3939.0,17268.0
Clinton,IN,8530.0,2819.0,11896.0
Clinton,KY,3809.0,547.0,4458.0
Clinton,MI,21635.0,16490.0,40564.0
Clinton,MO,7058.0,2572.0,10197.0
Clinton,NY,13181.0,13446.0,28378.0
Clinton,OH,13466.0,3943.0,18100.0
Clinton,PA,9701.0,4533.0,14839.0
Cloud,KS,2856.0,744.0,3831.0
Coahoma,MS,2426.0,6378.0,8912.0
Coal,OK,1892.0,411.0,2393.0
Cobb,GA,152602.0,159416.0,326424.0
Cochise,AZ,25036.0,15291.0,43147.0
Cochran,TX,679.0,190.0,901.0
Cocke,TN,9791.0,1980.0,12108.0
Coconino,AZ,16573.0,25308.0,44929.0
Codington,SD,7764.0,3174.0,11669.0
Coffee,AL,15825.0,4194.0,20513.0
Coffee,GA,9575.0,4090.0,13896.0
Coffee,TN,14409.0,4741.0,19895.0
Coffey,KS,2990.0,719.0,3962.0
Coke,TX,1265.0,140.0,1423.0
Colbert,AL,16718.0,7296.0,24626.0
Cole,MO,24610.0,10907.0,37261.0
Coleman,TX,3177.0,387.0,3635.0
Coles,IL,12985.0,7285.0,21580.0
Colfax,NE,2171.0,857.0,3172.0
Colfax,NM,2569.0,2118.0,5302.0
Colleton,SC,9083.0,7616.0,17231.0
Collier,FL,105297.0,60941.0,170505.0
Collin,TX,200395.0,139837.0,356545.0
Collingsworth,TX,983.0,145.0,1154.0
Colorado,TX,6323.0,1977.0,8480.0
Colquitt,GA,9892.0,3460.0,13592.0
Columbia,AR,5456.0,3140.0,8887.0
Columbia,FL,20359.0,7599.0,28696.0
Columbia,GA,43060.0,18863.0,64190.0
Columbia,NY,12756.0,13123.0,27255.0
Columbia,OR,12967.0,9959.0,25077.0
Columbia,PA,17387.0,8502.0,27127.0
Columbia,WA,1359.0,482.0,1969.0
Columbia,WI,14160.0,13525.0,29287.0
Columbiana,OH,31086.0,12273.0,45261.0
Columbus,NC,14177.0,8991.0,23472.0
Colusa,CA,3425.0,2484.0,6260.0
Comal,TX,44996.0,14166.0,61567.0
Comanche,KS,705.0,102.0,857.0
Comanche,OK,19153.0,11439.0,32504.0
Comanche,TX,4300.0,788.0,5208.0
Concho,TX,885.0,148.0,1067.0
Concordia,LA,5474.0,3272.0,8869.0
Conecuh,AL,3413.0,3069.0,6543.0
Conejos,CO,1885.0,1753.0,3970.0
Contra Costa,CA,87211.0,231968.0,337297.0
