county,state,TotalPop,Hispanic,White,Black,Native,Asian,Pacific
Cabarrus,NC,196716.0,10.0,68.0,16.7,0.3,3.0,0.1
Cabell,WV,96100.0,1.4,90.1,4.9,0.1,1.3,0.0
Cache,UT,120288.0,10.5,83.8,0.7,0.4,2.1,0.4
Caddo,OK,29437.0,12.1,57.4,2.2,22.4,0.4,0.1
Caddo,LA,251069.0,2.8,45.6,48.3,0.4,1.2,0.0
Calaveras,CA,45057.0,11.5,82.0,0.6,0.9,1.2,0.5
Calcasieu,LA,198753.0,3.2,68.2,24.6,0.3,1.4,0.0
Caldwell,KY,12747.0,1.3,91.1,6.8,0.0,0.0,0.0
Caldwell,MO,9046.0,2.1,94.8,0.5,0.4,0.4,0.0
Caldwell,NC,81805.0,5.1,87.9,4.9,0.4,0.6,0.0
Caldwell,TX,40544.0,50.7,41.1,6.1,0.2,1.0,0.1
Caldwell,LA,10000.0,3.1,79.1,16.8,0.6,0.2,0.0
Calhoun,AL,115527.0,3.6,72.7,20.4,0.2,1.0,0.0
Calhoun,AR,5194.0,3.9,72.6,21.9,0.1,0.2,0.2
Calhoun,FL,14458.0,5.8,76.9,12.8,0.9,0.8,0.0
Calhoun,GA,6503.0,4.8,32.5,60.5,0.0,0.5,0.0
Calhoun,IA,9814.0,1.8,94.8,1.8,0.3,0.3,0.0
Calhoun,IL,4897.0,1.1,96.7,0.3,0.1,0.9,0.0
Calhoun,MI,134327.0,5.0,78.3,10.6,0.6,2.1,0.0
Calhoun,MS,14617.0,5.7,65.0,27.2,0.0,0.2,0.3
Calhoun,SC,14808.0,3.6,53.6,41.6,0.5,0.0,0.0
Calhoun,TX,21821.0,48.1,43.2,2.6,0.1,4.9,0.1
Calhoun,WV,7450.0,1.3,97.3,0.0,0.1,0.0,0.0
Callahan,TX,13660.0,9.1,86.8,1.5,0.1,0.2,0.0
Callaway,MO,44793.0,2.0,90.2,4.3,0.5,0.8,0.0
Calloway,KY,38616.0,2.6,89.7,3.7,0.3,1.8,0.1
Calumet,WI,49737.0,4.1,91.4,0.8,0.6,2.2,0.0
Calvert,MD,90824.0,3.6,78.8,11.7,0.2,1.6,0.0
Camas,ID,886.0,9.3,90.4,0.0,0.0,0.0,0.0
Cambria,PA,135871.0,1.5,93.0,3.2,0.0,0.5,0.0
Camden,GA,52252.0,6.4,70.1,18.5,0.6,1.4,0.1
Camden,MO,44855.0,2.7,94.5,0.7,0.6,0.6,0.0
Camden,NC,10336.0,2.7,80.4,14.3,0.1,1.9,0.0
Camden,NJ,510996.0,16.1,57.5,18.1,0.1,5.7,0.0
Cameron,PA,4754.0,0.8,96.6,1.1,0.2,0.4,0.0
Cameron,TX,420201.0,89.3,9.3,0.4,0.1,0.6,0.0
Cameron,LA,6806.0,5.5,91.3,2.8,0.0,0.3,0.0
Camp,TX,12670.0,23.9,56.6,16.9,0.4,0.3,0.0
Campbell,KY,91804.0,1.9,92.4,3.2,0.0,0.9,0.0
Campbell,SD,1443.0,0.1,97.2,0.0,1.0,0.0,0.0
Campbell,TN,39824.0,1.2,96.6,0.5,0.3,0.4,0.0
Campbell,VA,55158.0,2.1,80.3,14.0,0.2,0.9,0.0
Campbell,WY,48116.0,8.4,87.7,0.3,0.8,0.5,0.0
Canadian,OK,132922.0,8.3,77.3,2.4,3.5,3.2,0.0
Candler,GA,10894.0,11.5,61.2,23.5,0.7,0.8,0.0
Cannon,TN,13839.0,2.0,94.5,1.5,0.5,0.1,0.0
Canyon,ID,207027.0,24.9,70.9,0.4,0.7,0.8,0.2
Cape Girardeau,MO,78013.0,2.3,86.4,7.9,0.1,1.4,0.0
Cape May,NJ,94549.0,7.4,85.6,4.5,0.0,1.0,0.0
Carbon,MT,10466.0,2.4,94.6,0.2,0.8,0.3,0.0
Carbon,PA,63987.0,4.3,92.4,1.7,0.0,0.5,0.0
Carbon,UT,20512.0,13.2,83.3,0.7,0.8,0.4,0.2
